epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,160.969,0.58247,0.44946,0.86691,0.99291,0.81449,0.87147,0.79042,0.50291,0.4278,0.88183,0.000462259,0.000462259,0.000462259
75,163.378,0.58296,0.47157,0.89594,0.99291,0.81449,0.87147,0.79042,0.50291,0.4278,0.88183,0.000445756,0.000445756,0.000445756
76,165.952,0.51667,0.42596,0.87053,0.985,0.82212,0.8757,0.79159,0.50579,0.4211,0.88321,0.000429253,0.000429253,0.000429253
77,168.288,0.57713,0.48896,0.89898,0.985,0.82212,0.8757,0.79159,0.50579,0.4211,0.88321,0.000412749,0.000412749,0.000412749
78,170.669,0.52442,0.4327,0.86778,0.985,0.82212,0.8757,0.79159,0.50579,0.4211,0.88321,0.000396246,0.000396246,0.000396246
79,173.048,0.59315,0.51375,0.91869,0.99707,0.81743,0.87292,0.79397,0.50056,0.41806,0.88048,0.000379743,0.000379743,0.000379743
80,175.543,0.54924,0.4297,0.8672,0.99707,0.81743,0.87292,0.79397,0.50056,0.41806,0.88048,0.000363239,0.000363239,0.000363239
81,177.799,0.4769,0.38617,0.84639,0.99707,0.81567,0.87143,0.79879,0.47985,0.40886,0.8768,0.000346736,0.000346736,0.000346736
82,180.27,0.51212,0.41817,0.8659,0.99707,0.81567,0.87143,0.79879,0.47985,0.40886,0.8768,0.000330233,0.000330233,0.000330233
83,182.506,0.53861,0.44106,0.89122,0.99707,0.81567,0.87143,0.79879,0.47985,0.40886,0.8768,0.000313729,0.000313729,0.000313729
84,184.871,0.58511,0.48969,0.88766,0.99256,0.8166,0.87184,0.7999,0.46629,0.40757,0.8722,0.000297226,0.000297226,0.000297226
85,187.104,0.5313,0.42581,0.87258,0.99256,0.8166,0.87184,0.7999,0.46629,0.40757,0.8722,0.000280723,0.000280723,0.000280723
86,189.35,0.49642,0.41133,0.87409,0.99256,0.8166,0.87184,0.7999,0.46629,0.40757,0.8722,0.00026422,0.00026422,0.00026422
87,191.775,0.52081,0.46232,0.86935,0.98803,0.82092,0.87171,0.80605,0.45838,0.39989,0.87439,0.000247716,0.000247716,0.000247716
88,193.949,0.48333,0.40356,0.86081,0.98803,0.82092,0.87171,0.80605,0.45838,0.39989,0.87439,0.000231213,0.000231213,0.000231213
89,196.553,0.46882,0.40739,0.84985,0.98271,0.82853,0.87064,0.80578,0.45418,0.39627,0.87666,0.00021471,0.00021471,0.00021471
90,198.696,0.4844,0.41123,0.85996,0.98271,0.82853,0.87064,0.80578,0.45418,0.39627,0.87666,0.000198206,0.000198206,0.000198206
91,208.585,0.48312,0.42199,0.88925,0.98271,0.82853,0.87064,0.80578,0.45418,0.39627,0.87666,0.000181703,0.000181703,0.000181703
92,210.854,0.44766,0.39443,0.86342,0.98106,0.83076,0.86651,0.80469,0.46595,0.40011,0.87695,0.0001652,0.0001652,0.0001652
93,213.592,0.48129,0.40536,0.84952,0.98106,0.83076,0.86651,0.80469,0.46595,0.40011,0.87695,0.000148696,0.000148696,0.000148696
94,216.371,0.4698,0.40138,0.86029,0.98106,0.83076,0.86651,0.80469,0.46595,0.40011,0.87695,0.000132193,0.000132193,0.000132193
95,218.787,0.51523,0.43451,0.87665,0.98148,0.82976,0.86495,0.8086,0.46231,0.39771,0.86508,0.00011569,0.00011569,0.00011569
96,221.623,0.47662,0.40232,0.87386,0.98148,0.82976,0.86495,0.8086,0.46231,0.39771,0.86508,9.91865e-05,9.91865e-05,9.91865e-05
97,224.667,0.52209,0.45897,0.87371,0.98866,0.82454,0.86533,0.80493,0.47193,0.40596,0.86817,8.26832e-05,8.26832e-05,8.26832e-05
98,227.326,0.44007,0.40864,0.85594,0.98866,0.82454,0.86533,0.80493,0.47193,0.40596,0.86817,6.61799e-05,6.61799e-05,6.61799e-05
99,229.661,0.42838,0.38846,0.85641,0.98866,0.82454,0.86533,0.80493,0.47193,0.40596,0.86817,4.96766e-05,4.96766e-05,4.96766e-05
100,231.954,0.51323,0.45753,0.89117,0.98057,0.82044,0.86536,0.80745,0.4701,0.40497,0.86496,3.31733e-05,3.31733e-05,3.31733e-05
